Frequency (GHz),Avg_Median,Avg_5_Sigma_Away
4.19090909090909,-74.64661375661375,-73.72924162257495
4.21818181818182,-74.71839153439153,-73.8360458553792
4.24545454545455,-74.39571428571429,-72.01541446208113
4.27272727272727,-74.38278306878307,-71.53008465608465
4.3,-74.3376507936508,-71.33077248677249
4.32727272727273,-74.04720634920635,-70.82621869488537
4.35454545454545,-74.11184126984128,-70.6299365079365
4.38181818181818,-73.8275343915344,-72.27882186948854
4.40909090909091,-74.27522751322752,-73.10905467372135
4.43636363636364,-74.11789417989418,-73.18671252204585
4.46363636363636,-74.56851851851852,-73.08985890652558
4.49090909090909,-74.77691005291005,-73.92578130511464
4.51818181818182,-74.92203174603175,-74.10455379188713
4.54545454545454,-75.29344973544973,-74.5458659611993
4.57272727272727,-75.15015873015872,-74.32137566137565
4.6,-75.30986243386243,-74.30991534391535
4.62727272727273,-75.16849735449735,-74.11606349206349
4.65454545454545,-75.19496296296296,-74.14014814814814
4.68181818181818,-75.3083597883598,-74.32412698412699
4.70909090909091,-74.92534391534392,-73.97015873015873
4.73636363636364,-75.13663492063492,-74.35769312169312
4.76363636363636,-74.99203174603176,-74.20584126984127
4.79090909090909,-75.2741798941799,-74.45753086419754
4.81818181818182,-75.3614708994709,-74.29425749559083
4.84545454545455,-75.10621164021164,-71.84956261022927
4.87272727272727,-74.52645502645503,-71.33820105820107
4.9,-75.43332275132275,-74.34630335097002
4.92727272727273,-75.62597883597883,-74.71026455026455
4.95454545454545,-75.96192592592593,-74.99571781305114
4.98181818181818,-75.85900529100529,-74.99009876543211
5.00909090909091,-76.14082539682539,-75.28743915343915
5.03636363636364,-76.14907936507936,-75.43652204585538
5.06363636363636,-76.42256084656084,-75.73670546737213
5.09090909090909,-76.49737566137567,-75.8028430335097
5.11818181818182,-76.44757671957672,-75.767012345679
5.14545454545455,-76.46407407407408,-75.7021164021164
5.17272727272727,-76.38713227513227,-74.4199541446208
5.2,-76.4724126984127,-73.88996119929453
5.22727272727273,-76.46742857142857,-73.6339188712522
5.25454545454545,-76.15076190476191,-63.660444444444444
5.28181818181818,-76.46366137566137,-75.64334391534392
5.30909090909091,-76.12687830687831,-75.25968253968254
5.33636363636364,-76.55028571428572,-75.90959788359788
5.36363636363636,-73.98223280423281,-73.07406701940035
5.39090909090909,-74.01262433862433,-71.74978483245151
